subj,Est_test,Est_1,Est_2,Est_3,Est_4,Est_5,Est_6,Est_7,Est_8
1,NA,5,12,3,7,1,8,16,15
2,NA,4,10,3,5,1,4,6,12
3,NA,4,12.5,6,10,1.5,8,16,18.5
4,NA,3.5,11.5,4,8,1.5,6.5,13,16
5,NA,6.5,17,8,13,1.5,10,21.5,18
6,NA,4,12,5,7.5,1,6,12,15
7,NA,4,16,6,10,2,8,19,20
8,NA,4,10,4.5,6,0.5,5,7,8
9,NA,6,16,4,11,1,5,13,13
10,NA,4,8,5,7,1,6,12,15
