SoA,color_swap,colors,orientations,position,position_x,position_y,shapes,target_ori,trial_id,trial_nr
0.2,0,1,45,5,-0.424264068712,-0.424264068712,0,-45,17,23
0.2,0,0,-45,6,-0.6,-1.10218211923e-16,0,-45,17,23
0.2,0,0,-45,7,-0.424264068712,0.424264068712,1,-45,17,23
0.4,1,0,-45,0,0.0,0.6,0,45,32,24
0.4,1,1,45,1,0.424264068712,0.424264068712,0,45,32,24
0.4,1,0,45,2,0.6,3.67394039744e-17,0,45,32,24
0.4,1,0,-45,3,0.424264068712,-0.424264068712,0,45,32,24
0.4,1,0,45,4,7.34788079488e-17,-0.6,1,45,32,24
0.4,1,0,-45,5,-0.424264068712,-0.424264068712,0,45,32,24
0.4,1,0,45,6,-0.6,-1.10218211923e-16,0,45,32,24
0.4,1,0,-45,7,-0.424264068712,0.424264068712,0,45,32,24
0.4,0,0,45,0,0.0,0.6,0,45,27,25
0.4,0,0,45,1,0.424264068712,0.424264068712,1,45,27,25
0.4,0,0,45,2,0.6,3.67394039744e-17,0,45,27,25
0.4,0,0,-45,3,0.424264068712,-0.424264068712,0,45,27,25
0.4,0,0,-45,4,7.34788079488e-17,-0.6,0,45,27,25
0.4,0,0,-45,5,-0.424264068712,-0.424264068712,0,45,27,25
0.4,0,1,45,6,-0.6,-1.10218211923e-16,0,45,27,25
0.4,0,0,-45,7,-0.424264068712,0.424264068712,0,45,27,25
0.4,1,0,-45,0,0.0,0.6,0,-45,29,26
0.4,1,0,45,1,0.424264068712,0.424264068712,0,-45,29,26
0.4,1,0,-45,2,0.6,3.67394039744e-17,0,-45,29,26
0.4,1,0,45,3,0.424264068712,-0.424264068712,0,-45,29,26
0.4,1,0,-45,4,7.34788079488e-17,-0.6,1,-45,29,26
0.4,1,1,-45,5,-0.424264068712,-0.424264068712,0,-45,29,26
0.4,1,0,45,6,-0.6,-1.10218211923e-16,0,-45,29,26
0.4,1,0,45,7,-0.424264068712,0.424264068712,0,-45,29,26
0.1,1,0,45,0,0.0,0.6,0,-45,13,27
0.1,1,0,-45,1,0.424264068712,0.424264068712,0,-45,13,27
0.1,1,0,45,2,0.6,3.67394039744e-17,0,-45,13,27
0.1,1,0,-45,3,0.424264068712,-0.424264068712,0,-45,13,27
0.1,1,0,-45,4,7.34788079488e-17,-0.6,0,-45,13,27
0.1,1,0,-45,5,-0.424264068712,-0.424264068712,0,-45,13,27
0.1,1,0,-45,6,-0.6,-1.10218211923e-16,1,-45,13,27
0.1,1,1,45,7,-0.424264068712,0.424264068712,0,-45,13,27
0.4,0,0,45,0,0.0,0.6,0,-45,25,28
0.4,0,0,-45,1,0.424264068712,0.424264068712,0,-45,25,28
0.4,0,1,45,2,0.6,3.67394039744e-17,0,-45,25,28
0.4,0,0,-45,3,0.424264068712,-0.424264068712,0,-45,25,28
0.4,0,0,-45,4,7.34788079488e-17,-0.6,1,-45,25,28
0.4,0,0,-45,5,-0.424264068712,-0.424264068712,0,-45,25,28
0.4,0,0,45,6,-0.6,-1.10218211923e-16,0,-45,25,28
0.4,0,0,-45,7,-0.424264068712,0.424264068712,0,-45,25,28
0.05,1,0,45,0,0.0,0.6,0,-45,5,29
0.05,1,0,-45,1,0.424264068712,0.424264068712,0,-45,5,29
0.05,1,0,-45,2,0.6,3.67394039744e-17,1,-45,5,29
0.05,1,0,-45,3,0.424264068712,-0.424264068712,0,-45,5,29
0.05,1,0,45,4,7.34788079488e-17,-0.6,0,-45,5,29
0.05,1,0,45,5,-0.424264068712,-0.424264068712,0,-45,5,29
0.05,1,0,45,6,-0.6,-1.10218211923e-16,0,-45,5,29
0.05,1,1,-45,7,-0.424264068712,0.424264068712,0,-45,5,29
0.2,1,0,-45,0,0.0,0.6,0,-45,21,30
0.2,1,0,-45,1,0.424264068712,0.424264068712,0,-45,21,30
0.2,1,0,45,2,0.6,3.67394039744e-17,0,-45,21,30
0.2,1,0,-45,3,0.424264068712,-0.424264068712,0,-45,21,30
0.2,1,0,45,4,7.34788079488e-17,-0.6,0,-45,21,30
0.2,1,0,-45,5,-0.424264068712,-0.424264068712,0,-45,21,30
0.2,1,0,-45,6,-0.6,-1.10218211923e-16,1,-45,21,30
0.2,1,1,45,7,-0.424264068712,0.424264068712,0,-45,21,30
0.2,0,0,-45,0,0.0,0.6,0,45,19,31
0.2,0,0,-45,1,0.424264068712,0.424264068712,0,45,19,31
0.2,0,0,-45,2,0.6,3.67394039744e-17,0,45,19,31
0.2,0,1,45,3,0.424264068712,-0.424264068712,0,45,19,31
0.2,0,0,-45,4,7.34788079488e-17,-0.6,0,45,19,31
0.2,0,0,45,5,-0.424264068712,-0.424264068712,1,45,19,31
0.2,0,0,-45,6,-0.6,-1.10218211923e-16,0,45,19,31
0.2,0,0,-45,7,-0.424264068712,0.424264068712,0,45,19,31
0.4,0,0,45,0,0.0,0.6,0,45,28,32
0.4,0,0,45,1,0.424264068712,0.424264068712,0,45,28,32
0.4,0,0,-45,2,0.6,3.67394039744e-17,0,45,28,32
0.4,0,0,45,3,0.424264068712,-0.424264068712,1,45,28,32
0.4,0,0,45,4,7.34788079488e-17,-0.6,0,45,28,32
0.4,0,0,45,5,-0.424264068712,-0.424264068712,0,45,28,32
0.4,0,0,-45,6,-0.6,-1.10218211923e-16,0,45,28,32
0.4,0,1,-45,7,-0.424264068712,0.424264068712,0,45,28,32
