trial,comparison_dur,shorter,longer
1,0.7,0,8
2,0.3,8,0
3,0.5,4,4
4,0.35,7,1
5,0.45,3,5
6,0.6,0,8
7,0.55,0,8
8,0.4,6,2
9,0.65,1,7
